[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260330_002124
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 29개 (25.2%)
액체: 86개 (74.8%)

[상세 window]
[048]  235- 250 | final=  액체 | seed=1 | pL= 83.1 | pF= 16.9 | chg= 15.48 | grad= 1.64 | edge=0.07 | fdiff=9.67
[049]  240- 255 | final=  액체 | seed=1 | pL= 86.2 | pF= 13.8 | chg= 27.12 | grad=13.72 | edge=0.40 | fdiff=11.03
[050]  245- 260 | final=  액체 | seed=1 | pL= 83.7 | pF= 16.3 | chg= 68.72 | grad=13.72 | edge=0.73 | fdiff=28.45
[051]  250- 265 | final=  액체 | seed=1 | pL= 75.8 | pF= 24.2 | chg= 70.32 | grad=13.72 | edge=0.67 | fdiff=49.83
[052]  255- 270 | final=  액체 | seed=1 | pL= 64.1 | pF= 35.9 | chg= 71.12 | grad=12.82 | edge=0.33 | fdiff=70.73
[053]  260- 275 | final=  액체 | seed=0 | pL= 75.4 | pF= 24.6 | chg= 71.72 | grad= 0.46 | edge=0.00 | fdiff=75.39
[054]  265- 280 | final=  바닥 | seed=0 | pL= 58.9 | pF= 41.1 | chg= 71.72 | grad= 0.62 | edge=0.00 | fdiff=75.88
[055]  270- 285 | final=  액체 | seed=0 | pL= 60.5 | pF= 39.5 | chg= 71.72 | grad= 0.72 | edge=0.07 | fdiff=75.02
[056]  275- 290 | final=  액체 | seed=1 | pL= 74.3 | pF= 25.7 | chg= 71.72 | grad= 6.22 | edge=0.27 | fdiff=72.81
[057]  280- 295 | final=  액체 | seed=1 | pL= 56.7 | pF= 43.3 | chg= 69.72 | grad=12.48 | edge=0.60 | fdiff=58.75
[058]  285- 300 | final=  액체 | seed=1 | pL= 74.9 | pF= 25.1 | chg= 66.92 | grad=12.48 | edge=0.73 | fdiff=35.16
[059]  290- 305 | final=  액체 | seed=1 | pL= 89.5 | pF= 10.5 | chg= 56.52 | grad=12.48 | edge=0.53 | fdiff=12.85
[060]  295- 310 | final=  액체 | seed=1 | pL= 94.4 | pF=  5.6 | chg=  7.88 | grad= 5.66 | edge=0.20 | fdiff=2.44
[061]  300- 315 | final=  바닥 | seed=0 | pL= 90.2 | pF=  9.8 | chg=  7.88 | grad= 0.12 | edge=0.00 | fdiff=2.29
[062]  305- 320 | final=  바닥 | seed=0 | pL= 88.4 | pF= 11.6 | chg=  7.88 | grad= 0.14 | edge=0.00 | fdiff=1.74
[063]  310- 325 | final=  바닥 | seed=0 | pL= 80.3 | pF= 19.7 | chg=  7.68 | grad= 0.22 | edge=0.00 | fdiff=1.19
[064]  315- 330 | final=  바닥 | seed=0 | pL= 78.0 | pF= 22.0 | chg=  7.68 | grad= 0.26 | edge=0.00 | fdiff=0.96
[065]  320- 335 | final=  액체 | seed=1 | pL= 50.3 | pF= 49.7 | chg= 19.88 | grad= 7.32 | edge=0.27 | fdiff=2.80
[066]  325- 340 | final=  액체 | seed=1 | pL= 62.5 | pF= 37.5 | chg= 62.28 | grad= 8.64 | edge=0.60 | fdiff=15.84
[067]  330- 345 | final=  액체 | seed=1 | pL= 79.5 | pF= 20.5 | chg= 65.88 | grad= 8.64 | edge=0.73 | fdiff=35.11
[068]  335- 350 | final=  액체 | seed=1 | pL= 92.1 | pF=  7.9 | chg= 65.88 | grad= 8.64 | edge=0.47 | fdiff=52.72
[069]  340- 355 | final=  액체 | seed=1 | pL= 95.6 | pF=  4.4 | chg= 65.88 | grad= 2.64 | edge=0.13 | fdiff=58.94
[070]  345- 360 | final=  액체 | seed=0 | pL= 82.9 | pF= 17.1 | chg= 65.88 | grad= 0.18 | edge=0.00 | fdiff=58.64
[071]  350- 365 | final=  바닥 | seed=0 | pL= 57.3 | pF= 42.7 | chg= 66.08 | grad= 0.46 | edge=0.00 | fdiff=58.55
[072]  355- 370 | final=  바닥 | seed=0 | pL= 72.4 | pF= 27.6 | chg= 67.28 | grad= 0.46 | edge=0.00 | fdiff=59.29
[073]  360- 375 | final=  바닥 | seed=0 | pL= 82.6 | pF= 17.4 | chg= 68.48 | grad= 0.46 | edge=0.00 | fdiff=60.53
[074]  365- 380 | final=  액체 | seed=0 | pL= 75.6 | pF= 24.4 | chg= 69.48 | grad= 0.36 | edge=0.00 | fdiff=61.81
[075]  370- 385 | final=  액체 | seed=1 | pL= 94.6 | pF=  5.4 | chg= 69.48 | grad= 4.40 | edge=0.20 | fdiff=61.91
[076]  375- 390 | final=  액체 | seed=1 | pL= 88.2 | pF= 11.8 | chg= 69.48 | grad= 9.38 | edge=0.53 | fdiff=52.97
[077]  380- 395 | final=  액체 | seed=1 | pL= 83.5 | pF= 16.5 | chg= 68.88 | grad= 9.38 | edge=0.67 | fdiff=35.32
[078]  385- 400 | final=  액체 | seed=1 | pL= 72.9 | pF= 27.1 | chg= 61.88 | grad= 9.38 | edge=0.47 | fdiff=18.31
[079]  390- 405 | final=  액체 | seed=1 | pL= 91.1 | pF=  8.9 | chg= 16.48 | grad= 4.06 | edge=0.13 | fdiff=9.96
[080]  395- 410 | final=  액체 | seed=0 | pL= 86.2 | pF= 13.8 | chg= 16.48 | grad= 0.24 | edge=0.00 | fdiff=9.72
[081]  400- 415 | final=  바닥 | seed=0 | pL= 69.8 | pF= 30.2 | chg= 16.28 | grad= 0.18 | edge=0.00 | fdiff=9.60
[082]  405- 420 | final=  액체 | seed=0 | pL= 78.7 | pF= 21.3 | chg= 16.48 | grad= 0.28 | edge=0.00 | fdiff=9.65
[083]  410- 425 | final=  액체 | seed=1 | pL= 64.1 | pF= 35.9 | chg= 17.88 | grad= 1.64 | edge=0.07 | fdiff=10.35
[084]  415- 430 | final=  액체 | seed=1 | pL= 54.5 | pF= 45.5 | chg= 46.48 | grad= 7.38 | edge=0.40 | fdiff=15.76
[085]  420- 435 | final=  액체 | seed=1 | pL= 71.8 | pF= 28.2 | chg= 62.48 | grad= 7.38 | edge=0.67 | fdiff=30.01
