epoch,accuracy,loss,val_accuracy,val_loss
1,0.24311594665050507,1.5714139938354492,0.7289854884147644,1.610593557357788
2,0.5231884121894836,0.9854188561439514,0.6797101497650146,1.0999846458435059
3,0.6278985738754272,0.776373565196991,0.5782608985900879,0.9646434783935547
4,0.6739130616188049,0.6804097294807434,0.6739130616188049,0.758719265460968
5,0.7061594128608704,0.6008440256118774,0.6695652008056641,0.704796552658081
6,0.6963768005371094,0.5793781280517578,0.7014492750167847,0.6575338840484619
7,0.7239130139350891,0.530399739742279,0.7275362610816956,0.5760141611099243
8,0.7648550868034363,0.4867694675922394,0.7289854884147644,0.5715388655662537
9,0.7572463750839233,0.47754645347595215,0.7710145115852356,0.5451479554176331
10,0.7800724506378174,0.4527794122695923,0.7347826361656189,0.6052953004837036
11,0.7894927263259888,0.4257906377315521,0.7550724744796753,0.5516111254692078
12,0.7858695387840271,0.4065430164337158,0.7159420251846313,0.6491432785987854
13,0.7869565486907959,0.39418524503707886,0.769565224647522,0.528140127658844
14,0.8025362491607666,0.37555304169654846,0.7840579748153687,0.48212730884552
15,0.822826087474823,0.34155184030532837,0.7927536368370056,0.49995723366737366
16,0.8134058117866516,0.36072784662246704,0.7840579748153687,0.5172423720359802
17,0.8079710006713867,0.3637947738170624,0.8202898502349854,0.42966192960739136
18,0.8333333134651184,0.3142212927341461,0.7623188495635986,0.58349609375
19,0.8235507011413574,0.31422191858291626,0.8304347991943359,0.41044381260871887
20,0.8449275493621826,0.29527172446250916,0.8028985261917114,0.45517897605895996
21,0.8380434513092041,0.29779261350631714,0.852173924446106,0.34268784523010254
22,0.8514492511749268,0.2763243615627289,0.8362318873405457,0.42971545457839966
23,0.8507246375083923,0.2744448781013489,0.8449275493621826,0.39859968423843384
24,0.8438405990600586,0.29461878538131714,0.813043475151062,0.4944077730178833
25,0.8514492511749268,0.28059905767440796,0.8405796885490417,0.4211408495903015
26,0.8637681007385254,0.24206140637397766,0.852173924446106,0.3802098035812378
27,0.8586956262588501,0.23822230100631714,0.856521725654602,0.3674178421497345
28,0.8775362372398376,0.22082039713859558,0.8811594247817993,0.29909399151802063
29,0.8764492869377136,0.19985252618789673,0.8840579986572266,0.30827414989471436
30,0.875,0.2264542281627655,0.865217387676239,0.3464277982711792
31,0.8782608509063721,0.21149592101573944,0.8608695864677429,0.32950758934020996
32,0.8829709887504578,0.20043620467185974,0.8579710125923157,0.3424818515777588
33,0.8829709887504578,0.19148042798042297,0.895652174949646,0.2712368071079254
34,0.8840579986572266,0.1873084306716919,0.8913043737411499,0.2774517238140106
35,0.8909420371055603,0.18545162677764893,0.8884057998657227,0.2908766269683838
36,0.8880434632301331,0.1896134912967682,0.8913043737411499,0.2876555621623993
37,0.8894927501678467,0.1824001967906952,0.8811594247817993,0.30508726835250854
38,0.8909420371055603,0.18019098043441772,0.8898550868034363,0.2837148904800415
39,0.8989130258560181,0.17452476918697357,0.8942028880119324,0.27711090445518494
40,0.8851449489593506,0.17831338942050934,0.8826087117195129,0.2931041121482849
41,0.8884057998657227,0.17353573441505432,0.895652174949646,0.2714359164237976
42,0.897826075553894,0.16598950326442719,0.895652174949646,0.2710961699485779
43,0.897826075553894,0.16002914309501648,0.8985507488250732,0.27205178141593933
44,0.8999999761581421,0.17110946774482727,0.895652174949646,0.26591813564300537
45,0.8996376991271973,0.1605706661939621,0.895652174949646,0.26544415950775146
46,0.8974637389183044,0.15700498223304749,0.9014492630958557,0.26122599840164185
47,0.8989130258560181,0.1564483642578125,0.8999999761581421,0.25993797183036804
48,0.9007246494293213,0.1671665757894516,0.9014492630958557,0.2548440992832184
49,0.8989130258560181,0.1690608710050583,0.8971014618873596,0.26575618982315063
50,0.9018115997314453,0.157015860080719,0.895652174949646,0.26203712821006775
51,0.9014492630958557,0.16127607226371765,0.9057971239089966,0.2521817684173584
52,0.9050724506378174,0.1585039645433426,0.8985507488250732,0.2625315487384796
53,0.8931159377098083,0.17249342799186707,0.8999999761581421,0.26050829887390137
54,0.9014492630958557,0.16816446185112,0.9028985500335693,0.25963154435157776
55,0.8931159377098083,0.16849927604198456,0.8913043737411499,0.26576218008995056
56,0.8999999761581421,0.153874009847641,0.8971014618873596,0.26396313309669495
57,0.9018115997314453,0.14615927636623383,0.9014492630958557,0.2607344090938568
58,0.8963767886161804,0.1498911827802658,0.8999999761581421,0.26179245114326477
59,0.904347836971283,0.15336130559444427,0.8999999761581421,0.25880950689315796
60,0.895652174949646,0.16694305837154388,0.8971014618873596,0.2640582025051117
