[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[012]   55-  70 | final=  액체 | state=LIQUID_HOLD | pL= 65.8 | pF= 34.2 | anch_ofs= 41.83/ 42.52 | chg= 38.79 | grad= 0.84 | edge=0.00 | anchor=822.56
[013]   60-  75 | final=  액체 | state=LIQUID_HOLD | pL= 61.5 | pF= 38.5 | anch_ofs= 40.00/ 42.52 | chg= 36.96 | grad= 1.98 | edge=0.40 | anchor=822.56
[014]   65-  80 | final=  액체 | state=LIQUID_HOLD | pL= 72.7 | pF= 27.3 | anch_ofs= 35.48/ 42.52 | chg= 32.44 | grad= 1.98 | edge=0.60 | anchor=822.56
[015]   70-  85 | final=  액체 | state=LIQUID_HOLD | pL= 82.3 | pF= 17.7 | anch_ofs= 30.11/ 39.92 | chg= 27.07 | grad= 1.98 | edge=0.53 | anchor=822.56
[016]   75-  90 | final=  액체 | state=LIQUID_HOLD | pL= 88.8 | pF= 11.2 | anch_ofs= 26.98/ 30.52 | chg= 23.94 | grad= 1.36 | edge=0.20 | anchor=822.56
[017]   80-  95 | final=  액체 | state=LIQUID_HOLD | pL= 54.3 | pF= 45.7 | anch_ofs= 24.23/ 26.88 | chg= 21.19 | grad= 6.16 | edge=0.33 | anchor=822.56
[018]   85- 100 | final=  액체 | state=LIQUID_HOLD | pL= 66.5 | pF= 33.5 | anch_ofs= 18.91/ 26.88 | chg= 17.50 | grad= 7.44 | edge=0.67 | anchor=822.56
[019]   90- 105 | final=  액체 | state=LIQUID_HOLD | pL= 78.7 | pF= 21.3 | anch_ofs= 16.06/ 25.64 | chg= 16.67 | grad= 7.44 | edge=0.67 | anchor=822.56
[020]   95- 110 | final=  액체 | state=LIQUID_HOLD | pL= 88.4 | pF= 11.6 | anch_ofs= 14.83/ 18.56 | chg= 17.46 | grad= 7.64 | edge=0.33 | anchor=822.56
[021]  100- 115 | final=  액체 | state=LIQUID_HOLD | pL= 73.7 | pF= 26.3 | anch_ofs= 16.05/ 18.56 | chg= 19.09 | grad= 0.62 | edge=0.00 | anchor=822.56
[022]  105- 120 | final=  액체 | state=LIQUID_HOLD | pL= 70.4 | pF= 29.6 | anch_ofs= 13.99/ 17.32 | chg= 17.02 | grad= 0.62 | edge=0.00 | anchor=822.56
[023]  110- 125 | final=  액체 | state=LIQUID_HOLD | pL= 65.8 | pF= 34.2 | anch_ofs= 12.49/ 14.56 | chg= 15.53 | grad= 0.48 | edge=0.00 | anchor=822.56
