Time=4.3s | BaseRaw=211.2 | CurrentRaw=227.6 | Change=0.0 => Floor (empty)
Time=4.4s | BaseRaw=211.2 | CurrentRaw=229.6 | Change=0.0 => Floor (empty)
Time=4.5s | BaseRaw=211.2 | CurrentRaw=228.6 | Change=0.0 => Floor (empty)
Time=4.6s | BaseRaw=211.2 | CurrentRaw=230.0 | Change=0.0 => Floor (empty)
Time=4.7s | BaseRaw=211.2 | CurrentRaw=235.2 | Change=0.0 => Floor (empty)
Time=4.8s | BaseRaw=211.2 | CurrentRaw=243.8 | Change=0.0 => Floor (empty)
Time=4.9s | BaseRaw=211.2 | CurrentRaw=255.8 | Change=0.0 => Floor (empty)
Time=5.0s | BaseRaw=211.2 | CurrentRaw=262.0 | Change=0.0 => Floor (empty)
Time=5.1s | BaseRaw=211.2 | CurrentRaw=272.4 | Change=0.0 => Floor (empty)
Time=5.2s | BaseRaw=211.2 | CurrentRaw=276.2 | Change=0.0 => Floor (empty)
Time=5.3s | BaseRaw=211.2 | CurrentRaw=274.6 | Change=0.0 => Floor (empty)
Time=5.4s | BaseRaw=211.2 | CurrentRaw=275.4 | Change=0.0 => Floor (empty)
Time=5.5s | BaseRaw=211.2 | CurrentRaw=270.6 | Change=0.0 => Floor (empty)
Time=5.6s | BaseRaw=211.2 | CurrentRaw=270.6 | Change=0.0 => Floor (empty)
Time=5.7s | BaseRaw=211.2 | CurrentRaw=267.6 | Change=0.0 => Floor (empty)
Time=5.8s | BaseRaw=211.2 | CurrentRaw=267.6 | Change=0.0 => Floor (empty)
Time=5.9s | BaseRaw=211.2 | CurrentRaw=272.0 | Change=0.0 => Floor (empty)
Time=6.0s | BaseRaw=211.2 | CurrentRaw=274.8 | Change=0.0 => Floor (empty)
Time=6.1s | BaseRaw=211.2 | CurrentRaw=286.2 | Change=0.0 => Floor (empty)
Time=6.2s | BaseRaw=211.2 | CurrentRaw=295.4 | Change=0.0 => Floor (empty)
Time=6.3s | BaseRaw=211.2 | CurrentRaw=304.4 | Change=0.0 => Floor (empty)
Time=6.4s | BaseRaw=211.2 | CurrentRaw=309.4 | Change=0.0 => Floor (empty)
Time=6.5s | BaseRaw=211.2 | CurrentRaw=310.2 | Change=0.0 => Floor (empty)
Time=6.6s | BaseRaw=211.2 | CurrentRaw=309.8 | Change=0.0 => Floor (empty)
