ôlecting baseline... RawAvg=760.00
Collecting baseline... RawAvg=760.00
awAvg=759.80
Collecting baseline... RawAvg=760.00
Collecting baseline... RawAvg=760.00
Collecting baseline... RawAvg=760.00
Initial floor measurement (5s)... Keep the sensor on the empty floor.
Collecting baseline... RawAvg=759.80
Collecting baseline... RawAvg=759.80
Collecting baseline... RawAvg=760.00
Collecting baseline... RawAvg=760.20
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.20
Collecting baseline... RawAvg=760.20
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.80
Collecting baseline... RawAvg=761.20
Collecting baseline... RawAvg=761.60
Collecting baseline... RawAvg=761.80
Collecting baseline... RawAvg=761.80
Collecting baseline... RawAvg=761.60
Collecting baseline... RawAvg=761.20
Collecting baseline... RawAvg=761.00
Collecting baseline... RawAvg=760.60
Collecting baseline... RawAvg=760.60
Collecting baseline... RawAvg=760.60
Collecting baseline... RawAvg=760.80
Collecting baseline... RawAvg=760.80
Collecting baseline... RawAvg=760.80
Collecting baseline... RawAvg=760.60
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.40
Collecting baseline... RawAvg=760.80
Collecting baseline... RawAvg=761.20
Collecting baseline... RawAvg=761.80
Collecting baseline... RawAvg=762.20
Collecting baseline... RawAvg=762.60
Collecting baseline... RawAvg=763.00
Collecting baseline... RawAvg=763.80
Collecting baseline... RawAvg=764.40
Collecting baseline... RawAvg=765.00
Collecting baseline... RawAvg=765.60
Collecting baseline... RawAvg=766.00
Collecting baseline... RawAvg=766.00
Collecting baseline... RawAvg=765.80
Collecting baseline... RawAvg=765.60
Collecting baseline... RawAvg=765.20
Collecting baseline... RawAvg=764.80
Collecting baseline... RawAvg=764.40
Collecting baseline... RawAvg=764.40
Collecting baseline... RawAvg=764.40
Collecting baseline... RawAvg=764.60
Collecting baseline... RawAvg=764.80
Collecting baseline... RawAvg=765.00
Collecting baseline... RawAvg=765.00

Baseline collection complete! Starting detection.
Final Base Raw Average = 762.30
--------------------------------------------------------------------------
Time=0.1s | BaseRaw=762.3 | CurrentRaw=764.8 | Change=0.0 => Floor (empty)
Time=0.2s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=0.3s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=0.4s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=0.5s | BaseRaw=762.3 | CurrentRaw=765.2 | Change=0.0 => Floor (empty)
Time=0.6s | BaseRaw=762.3 | CurrentRaw=765.2 | Change=0.0 => Floor (empty)
Time=0.7s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=0.8s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=0.9s | BaseRaw=762.3 | CurrentRaw=765.2 | Change=0.0 => Floor (empty)
Time=1.0s | BaseRaw=762.3 | CurrentRaw=765.0 | Change=0.0 => Floor (empty)
Time=1.1s | BaseRaw=762.3 | CurrentRaw=765.4 | Change=0.0 => Floor (empty)
Time=1.2s | BaseRaw=762.3 | CurrentRaw=765.6 | Change=0.0 => Floor (empty)
Time=1.3s | BaseRaw=762.3 | CurrentRaw=765.8 | Change=0.0 => Floor (empty)
Time=1.4s | BaseRaw=762.3 | CurrentRaw=765.8 | Change=0.0 => Floor (empty)
Time=1.5s | BaseRaw=762.3 | CurrentRaw=766.2 | Change=0.0 => Floor (empty)
Time=1.6s | BaseRaw=762.3 | CurrentRaw=766.2 | Change=0.0 => Floor (empty)
Time=1.7s | BaseRaw=762.3 | CurrentRaw=766.4 | Change=0.0 => Floor (empty)
Time=1.8s | BaseRaw=762.3 | CurrentRaw=766.6 | Change=0.0 => Floor (empty)
Time=1.9s | BaseRaw=762.3 | CurrentRaw=766.8 | Change=0.0 => Floor (empty)
Time=2.0s | BaseRaw=762.3 | CurrentRaw=766.6 | Change=0.0 => Floor (empty)
Time=2.1s | BaseRaw=762.3 | CurrentRaw=766.6 | Change=0.0 => Floor (empty)
Time=2.2s | BaseRaw=762.3 | CurrentRaw=766.6 | Change=0.0 => Floor (empty)
Time=2.3s | BaseRaw=762.3 | CurrentRaw=766.6 | Change=0.0 => Floor (empty)
