epoch,accuracy,loss,val_accuracy,val_loss
1,0.21957671642303467,1.9140851497650146,0.14814814925193787,1.9359264373779297
2,0.36375662684440613,1.7062689065933228,0.1746031790971756,1.882106065750122
3,0.4021163880825043,1.5061099529266357,0.29100528359413147,1.791375756263733
4,0.44179895520210266,1.321858286857605,0.5396825671195984,1.624959111213684
5,0.523809552192688,1.1635478734970093,0.47089946269989014,1.455538034439087
6,0.6058201193809509,1.0465221405029297,0.5079365372657776,1.355787754058838
7,0.5952380895614624,0.9743419885635376,0.48677247762680054,1.300462245941162
8,0.6256613731384277,0.9170688986778259,0.4920634925365448,1.231929898262024
9,0.6388888955116272,0.8477476239204407,0.4920634925365448,1.1902748346328735
10,0.6600528955459595,0.8206402659416199,0.5661375522613525,1.1439028978347778
11,0.682539701461792,0.7804087400436401,0.5608465671539307,1.097521424293518
12,0.6759259104728699,0.7702780961990356,0.5767195820808411,1.0384948253631592
13,0.7076719403266907,0.7336722016334534,0.6137565970420837,0.945585310459137
14,0.7076719403266907,0.7308533787727356,0.5978835821151733,0.9604153037071228
15,0.7222222089767456,0.6865710020065308,0.6349206566810608,0.869939923286438
16,0.7314814925193787,0.6685622930526733,0.6613756418228149,0.8547006249427795
17,0.7354497313499451,0.6580970883369446,0.6931216716766357,0.7644671201705933
18,0.7433862686157227,0.6467938423156738,0.7089946866035461,0.7250643968582153
19,0.7486772537231445,0.6109435558319092,0.7248677015304565,0.6785719394683838
20,0.761904776096344,0.5840560793876648,0.7354497313499451,0.6183297038078308
21,0.773809552192688,0.5817501544952393,0.7513227462768555,0.5978512763977051
22,0.7724867463111877,0.5696783065795898,0.7407407164573669,0.6091787219047546
23,0.7883597612380981,0.565094530582428,0.7671957612037659,0.5630608201026917
24,0.7870370149612427,0.5523688793182373,0.8148148059844971,0.5066829919815063
25,0.7936508059501648,0.5255160331726074,0.7989417910575867,0.5017669796943665
26,0.7870370149612427,0.5178321003913879,0.8253968358039856,0.48862048983573914
27,0.8068783283233643,0.4945668876171112,0.8253968358039856,0.44479334354400635
28,0.8121693134307861,0.5024285912513733,0.7883597612380981,0.467551052570343
29,0.8161375522613525,0.5001140236854553,0.820105791091919,0.45739665627479553
30,0.820105791091919,0.46168822050094604,0.8253968358039856,0.4449557065963745
31,0.8240740895271301,0.45209482312202454,0.820105791091919,0.42643874883651733
32,0.8346560597419739,0.44873902201652527,0.820105791091919,0.4448292553424835
33,0.8399471044540405,0.43978598713874817,0.8042327761650085,0.48983874917030334
34,0.8320105671882629,0.4394855499267578,0.8359788656234741,0.40861842036247253
35,0.8134920597076416,0.4595728814601898,0.8465608358383179,0.3971124589443207
36,0.8386243581771851,0.43626073002815247,0.7989417910575867,0.43739083409309387
37,0.8544973731040955,0.43128225207328796,0.8042327761650085,0.43270209431648254
38,0.8584656119346619,0.40655118227005005,0.841269850730896,0.40914303064346313
39,0.8544973731040955,0.38394975662231445,0.8253968358039856,0.4131862223148346
40,0.8584656119346619,0.38500717282295227,0.841269850730896,0.3897690176963806
41,0.8703703880310059,0.3617728054523468,0.8359788656234741,0.3880930542945862
42,0.8716931343078613,0.35229241847991943,0.841269850730896,0.3892996311187744
43,0.8756613731384277,0.33945587277412415,0.8359788656234741,0.3586832284927368
44,0.8902116417884827,0.3395085334777832,0.8465608358383179,0.37165817618370056
45,0.8743386268615723,0.33747419714927673,0.8359788656234741,0.36224448680877686
46,0.8730158805847168,0.35518911480903625,0.8148148059844971,0.38148579001426697
47,0.8716931343078613,0.34891483187675476,0.8465608358383179,0.38301199674606323
48,0.8849206566810608,0.3465578854084015,0.8306878209114075,0.3735078275203705
49,0.8862434029579163,0.3364852964878082,0.8306878209114075,0.36726686358451843
50,0.8915343880653381,0.3151615560054779,0.8465608358383179,0.352918803691864
51,0.8822751045227051,0.32809990644454956,0.8465608358383179,0.37046244740486145
52,0.89682537317276,0.3052021563053131,0.8624338507652283,0.3505842685699463
53,0.8955026268959045,0.2887928783893585,0.841269850730896,0.35696834325790405
54,0.8955026268959045,0.2887171804904938,0.841269850730896,0.3541058301925659
55,0.8955026268959045,0.3062686622142792,0.8465608358383179,0.37718406319618225
56,0.8955026268959045,0.2968513071537018,0.8359788656234741,0.3623523712158203
57,0.8769841194152832,0.32556530833244324,0.8359788656234741,0.36446815729141235
58,0.8994709253311157,0.30141547322273254,0.8359788656234741,0.36411261558532715
59,0.8955026268959045,0.3159305453300476,0.841269850730896,0.3676025867462158
60,0.8822751045227051,0.30666786432266235,0.841269850730896,0.3599154055118561
