[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260330_000000
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 9개 (7.8%)
액체: 106개 (92.2%)
가장 많이 나온 액체: 액체 (106 windows)

[상세 window]
[031]  150- 165 | final=  액체 | state=LIQUID_HOLD | model=  액체( 85.7) | nonfloor=  액체( 85.7) | anch_ofs= 31.24/ 32.13 | chg= 34.30 | grad= 1.10 | edge=0.07 | anchor=822.59
[032]  155- 170 | final=  액체 | state=LIQUID_HOLD | model=  액체( 78.8) | nonfloor=  액체( 78.8) | anch_ofs= 30.19/ 32.09 | chg= 33.25 | grad= 0.50 | edge=0.00 | anchor=822.59
[033]  160- 175 | final=  액체 | state=LIQUID_HOLD | model=  액체( 71.2) | nonfloor=  액체( 71.2) | anch_ofs= 29.08/ 30.93 | chg= 32.14 | grad= 0.50 | edge=0.00 | anchor=822.59
[034]  165- 180 | final=  액체 | state=LIQUID_HOLD | model=  액체( 60.0) | nonfloor=  액체( 60.0) | anch_ofs= 28.74/ 29.41 | chg= 31.81 | grad= 0.22 | edge=0.00 | anchor=822.59
[035]  170- 185 | final=  액체 | state=LIQUID_HOLD | model=  액체( 77.6) | nonfloor=  액체( 77.6) | anch_ofs= 29.10/ 30.01 | chg= 32.16 | grad= 0.22 | edge=0.00 | anchor=822.59
[036]  175- 190 | final=  액체 | state=LIQUID_HOLD | model=  액체( 76.9) | nonfloor=  액체( 76.9) | anch_ofs= 29.84/ 31.21 | chg= 32.90 | grad= 0.24 | edge=0.00 | anchor=822.59
[037]  180- 195 | final=  액체 | state=LIQUID_HOLD | model=  액체( 84.6) | nonfloor=  액체( 84.6) | anch_ofs= 30.68/ 31.81 | chg= 33.74 | grad= 0.78 | edge=0.07 | anchor=822.59
[038]  185- 200 | final=  액체 | state=LIQUID_HOLD | model=  액체( 84.8) | nonfloor=  액체( 84.8) | anch_ofs= 29.22/ 31.81 | chg= 32.28 | grad= 2.82 | edge=0.40 | anchor=822.59
[039]  190- 205 | final=  액체 | state=LIQUID_HOLD | model=  액체( 80.8) | nonfloor=  액체( 80.8) | anch_ofs= 23.85/ 31.81 | chg= 26.91 | grad= 2.82 | edge=0.60 | anchor=822.59
[040]  195- 210 | final=  액체 | state=LIQUID_HOLD | model=  액체( 74.9) | nonfloor=  액체( 74.9) | anch_ofs= 17.13/ 30.09 | chg= 20.19 | grad= 2.82 | edge=0.73 | anchor=822.59
[041]  200- 215 | final=  액체 | state=LIQUID_HOLD | model=  액체( 77.3) | nonfloor=  액체( 77.3) | anch_ofs= 11.01/ 17.33 | chg= 14.07 | grad= 2.34 | edge=0.53 | anchor=822.59
[042]  205- 220 | final=  액체 | state=LIQUID_HOLD | model=  액체( 76.0) | nonfloor=  액체( 76.0) | anch_ofs=  7.91/ 12.69 | chg= 10.97 | grad= 1.06 | edge=0.33 | anchor=822.59
[043]  210- 225 | final=  액체 | state=LIQUID_HOLD | model=  액체( 68.0) | nonfloor=  액체( 68.0) | anch_ofs=  5.82/  8.57 | chg=  8.89 | grad= 0.98 | edge=0.13 | anchor=822.59
[044]  215- 230 | final=  액체 | state=LIQUID_HOLD | model=  액체( 62.3) | nonfloor=  액체( 62.3) | anch_ofs=  5.61/  7.13 | chg=  8.67 | grad= 0.48 | edge=0.00 | anchor=822.59
[045]  220- 235 | final=  액체 | state=LIQUID_HOLD | model=  액체( 75.7) | nonfloor=  액체( 75.7) | anch_ofs=  6.72/  9.65 | chg=  9.79 | grad= 0.52 | edge=0.00 | anchor=822.59
[046]  225- 240 | final=  액체 | state=LIQUID_HOLD | model=  액체( 81.8) | nonfloor=  액체( 81.8) | anch_ofs=  8.51/ 10.93 | chg= 11.57 | grad= 0.52 | edge=0.00 | anchor=822.59
[047]  230- 245 | final=  액체 | state=LIQUID_HOLD | model=  액체( 83.4) | nonfloor=  액체( 83.4) | anch_ofs= 10.23/ 11.89 | chg= 13.30 | grad= 0.52 | edge=0.00 | anchor=822.59
[048]  235- 250 | final=  액체 | state=LIQUID_HOLD | model=  액체( 90.3) | nonfloor=  액체( 90.3) | anch_ofs= 11.29/ 12.13 | chg= 14.35 | grad= 1.64 | edge=0.07 | anchor=822.59
[049]  240- 255 | final=  액체 | state=LIQUID_HOLD | model=  액체( 82.6) | nonfloor=  액체( 82.6) | anch_ofs= 12.00/ 29.71 | chg= 13.84 | grad=13.72 | edge=0.40 | anchor=822.59
[050]  245- 260 | final=  액체 | state=LIQUID_HOLD | model=  액체( 80.5) | nonfloor=  액체( 80.5) | anch_ofs= 28.35/ 71.43 | chg= 28.14 | grad=13.72 | edge=0.73 | anchor=822.59
[051]  250- 265 | final=  액체 | state=LIQUID_HOLD | model=  액체( 74.3) | nonfloor=  액체( 74.3) | anch_ofs= 48.64/ 73.43 | chg= 46.40 | grad=13.72 | edge=0.67 | anchor=822.59
[052]  255- 270 | final=  액체 | state=LIQUID_HOLD | model=  액체( 67.0) | nonfloor=  액체( 67.0) | anch_ofs= 69.11/ 74.27 | chg= 66.05 | grad=12.82 | edge=0.33 | anchor=822.59
[053]  260- 275 | final=  액체 | state=LIQUID_HOLD | model=  액체( 73.2) | nonfloor=  액체( 73.2) | anch_ofs= 73.77/ 74.75 | chg= 70.71 | grad= 0.46 | edge=0.00 | anchor=822.59
[054]  265- 280 | final=  액체 | state=LIQUID_HOLD | model=  액체( 58.7) | nonfloor=  액체( 58.7) | anch_ofs= 74.27/ 74.75 | chg= 71.20 | grad= 0.62 | edge=0.00 | anchor=822.59
[055]  270- 285 | final=  액체 | state=LIQUID_HOLD | model=  액체( 72.6) | nonfloor=  액체( 72.6) | anch_ofs= 73.40/ 74.75 | chg= 70.34 | grad= 0.72 | edge=0.00 | anchor=822.59
[056]  275- 290 | final=  액체 | state=LIQUID_HOLD | model=  액체( 72.7) | nonfloor=  액체( 72.7) | anch_ofs= 71.19/ 74.75 | chg= 68.13 | grad= 6.22 | edge=0.20 | anchor=822.59
[057]  280- 295 | final=  액체 | state=LIQUID_HOLD | model=  액체( 69.3) | nonfloor=  액체( 69.3) | anch_ofs= 57.14/ 72.71 | chg= 54.07 | grad=12.48 | edge=0.53 | anchor=822.59
[058]  285- 300 | final=  액체 | state=LIQUID_HOLD | model=  액체( 82.5) | nonfloor=  액체( 82.5) | anch_ofs= 34.41/ 70.07 | chg= 33.06 | grad=12.48 | edge=0.73 | anchor=822.59
[059]  290- 305 | final=  액체 | state=LIQUID_HOLD | model=  액체( 88.4) | nonfloor=  액체( 88.4) | anch_ofs= 13.30/ 55.03 | chg= 13.99 | grad=12.48 | edge=0.53 | anchor=822.59
[060]  295- 310 | final=  바닥 | state=      FLOOR | model=  액체( 90.4) | nonfloor=  액체( 90.4) | anch_ofs=  4.20/  4.77 | chg=  6.93 | grad= 5.66 | edge=0.20 | anchor=822.59
[061]  300- 315 | final=  바닥 | state=      FLOOR | model=  액체( 89.4) | nonfloor=  액체( 89.4) | anch_ofs=  4.57/  4.77 | chg=  7.63 | grad= 0.12 | edge=0.00 | anchor=822.72
[062]  305- 320 | final=  바닥 | state=      FLOOR | model=  액체( 78.7) | nonfloor=  액체( 78.7) | anch_ofs=  4.15/  4.64 | chg=  7.35 | grad= 0.14 | edge=0.00 | anchor=822.85
[063]  310- 325 | final=  바닥 | state=      FLOOR | model=  액체( 73.1) | nonfloor=  액체( 73.1) | anch_ofs=  3.66/  4.27 | chg=  6.98 | grad= 0.22 | edge=0.00 | anchor=822.96
[064]  315- 330 | final=  바닥 | state=      FLOOR | model=  액체( 81.0) | nonfloor=  액체( 81.0) | anch_ofs=  3.46/  3.96 | chg=  6.89 | grad= 0.26 | edge=0.00 | anchor=823.06
[065]  320- 335 | final=  액체 | state=LIQUID_HOLD | model=  액체( 58.9) | nonfloor=  액체( 58.9) | anch_ofs=  2.15/ 18.58 | chg=  8.83 | grad= 7.32 | edge=0.27 | anchor=826.96
[066]  325- 340 | final=  액체 | state=LIQUID_HOLD | model=  액체( 71.2) | nonfloor=  액체( 71.2) | anch_ofs= 14.77/ 52.12 | chg= 21.95 | grad= 8.64 | edge=0.60 | anchor=826.96
[067]  330- 345 | final=  액체 | state=LIQUID_HOLD | model=  액체( 83.8) | nonfloor=  액체( 83.8) | anch_ofs= 33.86/ 58.44 | chg= 41.24 | grad= 8.64 | edge=0.73 | anchor=826.96
[068]  335- 350 | final=  액체 | state=LIQUID_HOLD | model=  액체( 89.2) | nonfloor=  액체( 89.2) | anch_ofs= 51.42/ 58.44 | chg= 58.85 | grad= 8.64 | edge=0.47 | anchor=826.96
[069]  340- 355 | final=  액체 | state=LIQUID_HOLD | model=  액체( 93.2) | nonfloor=  액체( 93.2) | anch_ofs= 57.64/ 58.44 | chg= 65.07 | grad= 2.64 | edge=0.13 | anchor=826.96
[070]  345- 360 | final=  액체 | state=LIQUID_HOLD | model=  액체( 77.4) | nonfloor=  액체( 77.4) | anch_ofs= 57.34/ 58.36 | chg= 64.77 | grad= 0.18 | edge=0.00 | anchor=826.96
[071]  350- 365 | final=  액체 | state=LIQUID_HOLD | model=  액체( 58.9) | nonfloor=  액체( 58.9) | anch_ofs= 57.25/ 58.68 | chg= 64.69 | grad= 0.46 | edge=0.00 | anchor=826.96
[072]  355- 370 | final=  액체 | state=LIQUID_HOLD | model=  액체( 78.0) | nonfloor=  액체( 78.0) | anch_ofs= 58.00/ 59.80 | chg= 65.43 | grad= 0.46 | edge=0.00 | anchor=826.96
[073]  360- 375 | final=  액체 | state=LIQUID_HOLD | model=  액체( 81.4) | nonfloor=  액체( 81.4) | anch_ofs= 59.23/ 61.00 | chg= 66.66 | grad= 0.46 | edge=0.00 | anchor=826.96
[074]  365- 380 | final=  액체 | state=LIQUID_HOLD | model=  액체( 81.0) | nonfloor=  액체( 81.0) | anch_ofs= 60.52/ 61.80 | chg= 67.95 | grad= 0.36 | edge=0.00 | anchor=826.96
[075]  370- 385 | final=  액체 | state=LIQUID_HOLD | model=  액체( 87.5) | nonfloor=  액체( 87.5) | anch_ofs= 60.61/ 61.80 | chg= 68.04 | grad= 4.40 | edge=0.20 | anchor=826.96
[076]  375- 390 | final=  액체 | state=LIQUID_HOLD | model=  액체( 83.5) | nonfloor=  액체( 83.5) | anch_ofs= 51.67/ 61.80 | chg= 59.10 | grad= 9.38 | edge=0.53 | anchor=826.96
[077]  380- 395 | final=  액체 | state=LIQUID_HOLD | model=  액체( 79.5) | nonfloor=  액체( 79.5) | anch_ofs= 34.02/ 61.40 | chg= 41.45 | grad= 9.38 | edge=0.67 | anchor=826.96
[078]  385- 400 | final=  액체 | state=LIQUID_HOLD | model=  액체( 71.2) | nonfloor=  액체( 71.2) | anch_ofs= 17.01/ 50.60 | chg= 24.45 | grad= 9.38 | edge=0.47 | anchor=826.96
[079]  390- 405 | final=  액체 | state=LIQUID_HOLD | model=  액체( 69.1) | nonfloor=  액체( 69.1) | anch_ofs=  8.66/ 11.44 | chg= 16.10 | grad= 4.06 | edge=0.13 | anchor=826.96
[080]  395- 410 | final=  액체 | state=LIQUID_HOLD | model=  액체( 82.8) | nonfloor=  액체( 82.8) | anch_ofs=  8.42/  8.88 | chg= 15.85 | grad= 0.24 | edge=0.00 | anchor=826.96
[081]  400- 415 | final=  액체 | state=LIQUID_HOLD | model=  액체( 71.3) | nonfloor=  액체( 71.3) | anch_ofs=  8.30/  8.80 | chg= 15.74 | grad= 0.18 | edge=0.00 | anchor=826.96
[082]  405- 420 | final=  액체 | state=LIQUID_HOLD | model=  액체( 74.3) | nonfloor=  액체( 74.3) | anch_ofs=  8.35/  9.12 | chg= 15.79 | grad= 0.28 | edge=0.00 | anchor=826.96
[083]  410- 425 | final=  액체 | state=LIQUID_HOLD | model=  액체( 68.3) | nonfloor=  액체( 68.3) | anch_ofs=  9.05/ 11.28 | chg= 16.49 | grad= 1.64 | edge=0.07 | anchor=826.96
[084]  415- 430 | final=  액체 | state=LIQUID_HOLD | model=  액체( 63.9) | nonfloor=  액체( 63.9) | anch_ofs= 14.47/ 38.12 | chg= 21.90 | grad= 7.38 | edge=0.40 | anchor=826.96
[085]  420- 435 | final=  액체 | state=LIQUID_HOLD | model=  액체( 78.5) | nonfloor=  액체( 78.5) | anch_ofs= 28.71/ 54.88 | chg= 36.15 | grad= 7.38 | edge=0.67 | anchor=826.96
[086]  425- 440 | final=  액체 | state=LIQUID_HOLD | model=  액체( 87.6) | nonfloor=  액체( 87.6) | anch_ofs= 43.56/ 54.88 | chg= 51.00 | grad= 7.38 | edge=0.60 | anchor=826.96
[087]  430- 445 | final=  액체 | state=LIQUID_HOLD | model=  액체( 91.4) | nonfloor=  액체( 91.4) | anch_ofs= 53.48/ 54.88 | chg= 60.91 | grad= 5.84 | edge=0.27 | anchor=826.96
[088]  435- 450 | final=  액체 | state=LIQUID_HOLD | model=  액체( 70.5) | nonfloor=  액체( 70.5) | anch_ofs= 54.43/ 54.80 | chg= 61.86 | grad= 0.10 | edge=0.00 | anchor=826.96
[089]  440- 455 | final=  액체 | state=LIQUID_HOLD | model=  액체( 66.3) | nonfloor=  액체( 66.3) | anch_ofs= 54.49/ 55.00 | chg= 61.92 | grad= 0.14 | edge=0.00 | anchor=826.96
[090]  445- 460 | final=  액체 | state=LIQUID_HOLD | model=  액체( 85.9) | nonfloor=  액체( 85.9) | anch_ofs= 54.70/ 55.04 | chg= 62.13 | grad= 0.14 | edge=0.00 | anchor=826.96
[091]  450- 465 | final=  액체 | state=LIQUID_HOLD | model=  액체( 83.7) | nonfloor=  액체( 83.7) | anch_ofs= 54.38/ 55.04 | chg= 61.82 | grad= 4.36 | edge=0.20 | anchor=826.96
[092]  455- 470 | final=  액체 | state=LIQUID_HOLD | model=  액체( 83.4) | nonfloor=  액체( 83.4) | anch_ofs= 46.14/ 55.04 | chg= 53.57 | grad= 7.30 | edge=0.53 | anchor=826.96
[093]  460- 475 | final=  액체 | state=LIQUID_HOLD | model=  액체( 79.2) | nonfloor=  액체( 79.2) | anch_ofs= 31.58/ 55.04 | chg= 39.01 | grad= 7.30 | edge=0.67 | anchor=826.96
[094]  465- 480 | final=  액체 | state=LIQUID_HOLD | model=  액체( 70.7) | nonfloor=  액체( 70.7) | anch_ofs= 17.44/ 44.04 | chg= 24.87 | grad= 7.30 | edge=0.47 | anchor=826.96
[095]  470- 485 | final=  액체 | state=LIQUID_HOLD | model=  액체( 60.3) | nonfloor=  액체( 60.3) | anch_ofs= 11.08/ 13.40 | chg= 18.51 | grad= 2.86 | edge=0.13 | anchor=826.96
[096]  475- 490 | final=  액체 | state=LIQUID_HOLD | model=  액체( 93.8) | nonfloor=  액체( 93.8) | anch_ofs= 10.99/ 11.16 | chg= 18.42 | grad= 0.12 | edge=0.00 | anchor=826.96
[097]  480- 495 | final=  액체 | state=LIQUID_HOLD | model=  액체( 74.8) | nonfloor=  액체( 74.8) | anch_ofs= 11.03/ 11.28 | chg= 18.46 | grad= 0.16 | edge=0.00 | anchor=826.96
[098]  485- 500 | final=  액체 | state=LIQUID_HOLD | model=  액체( 65.6) | nonfloor=  액체( 65.6) | anch_ofs= 11.28/ 12.24 | chg= 18.72 | grad= 0.72 | edge=0.00 | anchor=826.96
[099]  490- 505 | final=  액체 | state=LIQUID_HOLD | model=  액체( 61.5) | nonfloor=  액체( 61.5) | anch_ofs= 14.83/ 33.80 | chg= 22.26 | grad= 8.26 | edge=0.33 | anchor=826.96
