Time,BaseRaw,CurrentRaw,Change
0.0,266.94,283.2,16.25999999999999
0.204,266.94,278.6,11.660000000000025
0.408,266.94,278.8,11.860000000000014
0.612,266.94,282.0,15.060000000000002
0.816,266.94,285.8,18.860000000000014
1.02,266.94,283.4,16.45999999999998
1.224,266.94,281.4,14.45999999999998
1.429,266.94,272.4,5.4599999999999795
1.633,266.94,260.0,6.939999999999998
1.837,266.94,249.8,17.139999999999986
2.041,266.94,246.4,20.539999999999992
2.245,266.94,252.6,14.340000000000003
2.449,266.94,264.0,2.9399999999999977
2.653,266.94,275.8,8.860000000000014
2.857,266.94,282.8,15.860000000000014
3.061,266.94,280.0,13.060000000000002
3.265,266.94,270.2,3.259999999999991
3.469,266.94,257.6,9.339999999999975
3.673,266.94,248.0,18.939999999999998
3.878,266.94,245.8,21.139999999999986
4.082,266.94,252.8,14.139999999999986
4.286,266.94,264.8,2.1399999999999864
4.49,266.94,276.8,9.860000000000014
4.694,266.94,283.0,16.060000000000002
4.898,266.94,279.6,12.660000000000025
5.102,266.94,269.6,2.660000000000025
5.306,266.94,257.6,9.339999999999975
5.51,266.94,248.8,18.139999999999986
5.714,266.94,247.8,19.139999999999986
5.918,266.94,255.6,11.340000000000003
6.122,266.94,267.6,0.660000000000025
6.327,266.94,278.6,11.660000000000025
6.531,266.94,283.4,16.45999999999998
6.735,266.94,278.6,11.660000000000025
6.939,266.94,267.4,0.45999999999997954
7.143,266.94,255.2,11.740000000000009
7.347,266.94,247.4,19.539999999999992
7.551,266.94,247.6,19.340000000000003
7.755,266.94,256.8,10.139999999999986
7.959,266.94,269.8,2.8600000000000136
8.163,266.94,281.0,14.060000000000002
8.367,266.94,284.4,17.45999999999998
8.571,266.94,278.8,11.860000000000014
8.776,266.94,267.4,0.45999999999997954
8.98,266.94,255.4,11.539999999999992
9.184,266.94,248.4,18.539999999999992
9.388,266.94,250.2,16.74000000000001
9.592,266.94,259.8,7.139999999999986
9.796,266.94,272.2,5.259999999999991
10.0,266.94,282.2,15.259999999999991
10.1,266.9,279.6,0.0
10.2,266.9,272.2,0.0
10.3,266.9,271.2,0.0
10.4,266.9,260.2,6.7
10.5,266.9,266.6,0.3
10.6,266.9,264.2,2.7
10.7,266.9,266.6,0.3
10.8,266.9,265.4,1.5
10.9,266.9,266.4,0.5
11.0,266.9,267.0,0.0
11.1,266.9,265.6,1.3
11.2,266.9,268.0,0.0
11.3,266.9,264.6,2.3
11.4,266.9,266.4,0.5
11.5,266.9,266.2,0.7
11.6,266.9,265.0,1.9
11.7,266.9,267.0,0.0
11.8,266.9,264.0,2.9
11.9,266.9,266.8,0.1
12.0,266.9,265.6,1.3
12.1,266.9,266.2,0.7
12.2,266.9,267.4,0.0
12.3,266.9,265.2,1.7
12.4,266.9,268.0,0.0
12.5,266.9,266.0,0.9
12.6,266.9,267.2,0.0
12.7,266.9,267.6,0.0
12.8,266.9,266.4,0.5
12.9,266.9,268.6,0.0
13.0,266.9,265.0,1.9
13.1,266.9,267.6,0.0
13.2,266.9,267.0,0.0
13.3,266.9,266.4,0.5
13.4,266.9,268.2,0.0
13.5,266.9,265.6,1.3
13.6,266.9,268.0,0.0
13.7,266.9,266.6,0.3
13.8,266.9,267.8,0.0
13.9,266.9,268.4,0.0
14.0,266.9,266.4,0.5
14.1,266.9,269.0,0.0
14.2,266.9,265.8,1.1
14.3,266.9,267.6,0.0
14.4,266.9,269.0,0.0
14.5,266.9,270.4,0.0
14.6,266.9,275.4,0.0
14.7,266.9,276.2,0.0
14.8,266.9,283.6,0.0
14.9,266.9,287.0,0.0
15.0,266.9,291.0,0.0
15.1,266.9,295.4,0.0
15.2,266.9,295.2,0.0
15.3,266.9,298.0,0.0
15.4,266.9,296.6,0.0
15.5,266.9,297.6,0.0
15.6,266.9,298.0,0.0
15.7,266.9,296.4,0.0
15.8,266.9,299.0,0.0
15.9,266.9,295.2,0.0
16.0,266.9,296.6,0.0
16.1,266.9,296.0,0.0
16.2,266.9,295.4,0.0
16.3,266.9,297.2,0.0
16.4,266.9,294.6,0.0
16.5,266.9,297.6,0.0
16.6,266.9,296.8,0.0
16.7,266.9,297.0,0.0
16.8,266.9,298.0,0.0
16.9,266.9,296.4,0.0
17.0,266.9,298.6,0.0
17.1,266.9,296.8,0.0
17.2,266.9,298.8,0.0
17.3,266.9,299.4,0.0
17.4,266.9,298.0,0.0
17.5,266.9,300.6,0.0
17.6,266.9,297.0,0.0
17.7,266.9,298.6,0.0
17.8,266.9,298.0,0.0
17.9,266.9,297.6,0.0
18.0,266.9,299.2,0.0
18.1,266.9,296.8,0.0
18.2,266.9,299.4,0.0
18.3,266.9,298.6,0.0
